Date Sold,Address,Land Area,Beds,Baths,Cars,Sale Price,Link
04 JAN 2019,"50 Malvina Street, RYDE NSW 2112",N/A,3,2,1,1180000,https://www.domain.com.au/50-malvina-street-ryde-nsw-2112-2014649504
29 OCT 2018,"3A Andrew Street, WEST RYDE NSW 2114",366m²,4,2,1,1205000,https://www.domain.com.au/3a-andrew-street-west-ryde-nsw-2114-2014653771
03 SEP 2018,"1/35B Midson Road, EASTWOOD NSW 2122",196m²,4,2,2,1753689,https://www.domain.com.au/1-35b-midson-road-eastwood-nsw-2122-2015499124
11 AUG 2018,"22a Weaver Street, RYDE NSW 2112",381m²,3,2,2,1320000,https://www.domain.com.au/22a-weaver-street-ryde-nsw-2112-2014506015
28 JUL 2018,"2/36 David Avenue, NORTH RYDE NSW 2113",N/A,3,2,1,1128000,https://www.domain.com.au/2-36-david-avenue-north-ryde-nsw-2113-2014473335
24 JUL 2018,"6a/Dawes Crescent, EASTWOOD NSW 2122",N/A,5,3,2,1700000,https://www.domain.com.au/6a-dawes-crescent-eastwood-nsw-2122-2014523772
03 JUL 2018,"15A Linley Way, RYDE NSW 2112",300m²,3,2,1,1220000,https://www.domain.com.au/15a-linley-way-ryde-nsw-2112-2014452125
30 JUN 2018,"35A Dorothy Street, RYDE NSW 2112",400m²,4,2,2,1730000,https://www.domain.com.au/35a-dorothy-street-ryde-nsw-2112-2014414535
18 MAY 2018,"10A Ruse Street, NORTH RYDE NSW 2113",815m²,4,2,4,1375000,https://www.domain.com.au/10a-ruse-street-north-ryde-nsw-2113-2014284860
05 MAY 2018,"6B Dawes Crescent, EASTWOOD NSW 2122",N/A,5,3,2,1700000,https://www.domain.com.au/6b-dawes-crescent-eastwood-nsw-2122-2014231683
14 APR 2018,"12B Lovell Road, EASTWOOD NSW 2122",N/A,4,2,1,1500000,https://www.domain.com.au/12b-lovell-road-eastwood-nsw-2122-2014286914
17 MAR 2018,"2/54 Beswick Avenue, NORTH RYDE NSW 2113",N/A,3,2,1,1376000,https://www.domain.com.au/2-54-beswick-avenue-north-ryde-nsw-2113-2014192591
05 JAN 2018,"4 Forster Street, WEST RYDE NSW 2114",351m²,4,2,1,1470000,https://www.domain.com.au/4-forster-street-west-ryde-nsw-2114-2013987191
05 JAN 2018,"5A Hermoyne Street, WEST RYDE NSW 2114",450m²,4,2,2,1395000,https://www.domain.com.au/5a-hermoyne-street-west-ryde-nsw-2114-2013975939
05 DEC 2017,"4/278 Quarry Road, RYDE NSW 2112",N/A,3,2,3,1235000,https://www.domain.com.au/4-278-quarry-road-ryde-nsw-2112-2013936067
18 NOV 2017,"2/40 David Avenue, NORTH RYDE NSW 2113",N/A,3,1,1,1289000,https://www.domain.com.au/2-40-david-avenue-north-ryde-nsw-2113-2013968499
28 OCT 2017,"44A Ford Street, NORTH RYDE NSW 2113",N/A,4,3,1,1730000,https://www.domain.com.au/44a-ford-street-north-ryde-nsw-2113-2013898640
